density, u velocity, pressure, x points
0.424536,0.927468,0.303127,0.307307
0.424515,0.927468,0.303127,0.309309
0.424494,0.927469,0.303127,0.311311
0.424472,0.927469,0.303127,0.313313
0.424449,0.927469,0.303127,0.315315
0.424426,0.927469,0.303127,0.317317
0.424402,0.927469,0.303127,0.319319
0.424378,0.92747,0.303126,0.321321
0.424352,0.92747,0.303126,0.323323
0.424326,0.92747,0.303126,0.325325
0.4243,0.927471,0.303126,0.327327
0.424272,0.927471,0.303126,0.329329
0.424244,0.927471,0.303126,0.331331
0.424214,0.927472,0.303126,0.333333
0.424184,0.927472,0.303126,0.335335
0.424153,0.927472,0.303125,0.337337
0.42412,0.927473,0.303125,0.339339
0.424087,0.927473,0.303125,0.341341
0.424052,0.927474,0.303125,0.343343
0.424016,0.927474,0.303125,0.345345
0.423978,0.927475,0.303125,0.347347
0.423939,0.927476,0.303124,0.349349
0.423898,0.927476,0.303124,0.351351
0.423856,0.927477,0.303124,0.353353
0.423811,0.927478,0.303123,0.355355
0.423764,0.927479,0.303123,0.357357
0.423714,0.92748,0.303122,0.359359
0.423661,0.927482,0.303122,0.361361
0.423605,0.927483,0.303121,0.363363
0.423545,0.927485,0.303121,0.365365
0.42348,0.927487,0.30312,0.367367
0.42341,0.927489,0.303119,0.369369
0.423334,0.927492,0.303118,0.371371
0.423251,0.927495,0.303117,0.373373
0.42316,0.927499,0.303115,0.375375
0.423059,0.927503,0.303114,0.377377
0.422946,0.927508,0.303112,0.379379
